Timestamp,familiarity,trust_q3,trust_q4,trust_q5,trust_q6,trust_q7,trust_q8,trust_q9,trust_q10,endorsement_q14,endorsement_q15,age,gender,social_media_hours,influencer_interaction_freq,influencer_type,trust_q9_reversed,perceived_trust
6/24/2025 11:58,1,2,1,3,1,2,1,4,,1,2,25-30,Male,1–3 hours,Never,virtual,2,1.714285714
6/24/2025 12:07,1,3,2,4,3,4,3,2,4,2,2,20–25,Male,More than 5 hours,Rarely,virtual,4,3.375
6/24/2025 12:07,1,4,1,5,3,3,2,3,3,1,1,20–25,Female,1–3 hours,Rarely,virtual,3,3
6/24/2025 12:15,2,2,2,1,2,2,1,3,2,1,3,20–25,Male,3–5 hours,Rarely,virtual,3,1.875
6/24/2025 12:15,2,1,2,1,1,3,2,4,2,2,3,20–25,Female,3–5 hours,Often,virtual,2,1.75
6/24/2025 12:28,2,2,3,2,2,1,1,3,1,1,1,20–25,Male,Less than 1 hour,Sometimes,virtual,3,1.875
6/24/2025 12:28,1,2,2,3,2,1,1,4,1,1,1,20–25,Female,1–3 hours,Sometimes,virtual,2,1.75
6/24/2025 12:37,2,1,1,1,1,2,1,5,1,3,2,25-30,Female,3–5 hours,Never,virtual,1,1.125
6/24/2025 12:37,2,1,1,1,1,2,3,5,1,2,2,20–25,Male,3–5 hours,Sometimes,virtual,1,1.375
6/24/2025 12:42,1,1,1,1,1,2,1,3,2,1,1,20–25,Female,1–3 hours,Rarely,virtual,3,1.5
6/24/2025 12:42,1,1,1,1,1,2,1,4,1,1,2,20–25,Female,1–3 hours,Rarely,virtual,2,1.25
6/24/2025 16:40,2,3,3,4,3,3,2,4,3,2,2,19 and under,Female,3–5 hours,Sometimes,virtual,2,2.875
6/24/2025 16:45,1,1,1,3,1,1,1,5,3,1,5,35-40,Female,More than 5 hours,Rarely,virtual,1,1.5
6/25/2025 3:49,2,2,2,2,2,2,2,3,3,2,2,20–25,Female,More than 5 hours,Sometimes,virtual,3,2.25
6/29/2025 23:02,2,1,2,3,1,1,2,4,1,1,1,19 and under,Male,1–3 hours,Sometimes,virtual,2,1.625
7/1/2025 0:32,1,2,2,3,2,2,2,4,3,1,1,19 and under,Female,3–5 hours,Sometimes,virtual,2,2.25
7/1/2025 8:37,4,4,3,3,3,4,3,4,3,3,5,19 and under,Female,1–3 hours,Sometimes,virtual,2,3.125
6/24/2025 13:37,1,3,4,4,4,3,3,4,4,4,3,20–25,Male,1–3 hours,Never,human,2,3.375
6/24/2025 16:33,5,4,4,5,4,5,4,2,3,3,5,20–25,Female,More than 5 hours,Rarely,human,4,4.125
6/24/2025 16:35,4,4,4,3,3,4,4,4,4,3,3,20–25,Male,1–3 hours,Rarely,human,2,3.5
6/24/2025 16:39,5,1,2,4,3,2,2,4,2,2,2,20–25,Male,1–3 hours,Often,human,2,2.25
6/24/2025 17:13,4,1,2,2,1,3,2,3,1,3,3,20–25,Male,1–3 hours,Rarely,human,3,1.875
6/24/2025 23:28,4,3,3,3,3,3,3,2,4,2,4,45 and older,Female,1–3 hours,Sometimes,human,4,3.25
6/24/2025 23:32,3,2,3,4,3,2,3,3,1,3,1,20–25,Male,3–5 hours,Never,human,3,2.625
6/30/2025 17:09,4,3,4,4,3,5,4,3,3,3,4,20–25,Female,3–5 hours,Often,human,3,3.625
6/30/2025 17:11,5,5,4,4,5,5,5,2,4,5,4,20–25,Female,1–3 hours,Often,human,4,4.5
6/30/2025 17:19,5,3,3,3,3,3,3,4,4,4,4,20–25,Female,1–3 hours,Often,human,2,3
6/30/2025 18:42,5,4,4,3,3,4,4,4,3,5,4,20–25,Male,1–3 hours,Sometimes,human,2,3.375
7/1/2025 12:59,5,3,3,2,3,3,4,4,5,5,5,20–25,Male,More than 5 hours,Often,human,2,3.125
7/1/2025 12:59,5,4,5,4,5,5,5,2,4,4,5,20–25,Female,3–5 hours,Rarely,human,4,4.5
7/1/2025 13:00,5,3,3,5,3,4,4,2,4,3,3,20–25,Female,3–5 hours,Sometimes,human,4,3.75
7/1/2025 13:01,2,3,4,5,4,3,3,2,3,1,1,20–25,Female,More than 5 hours,Rarely,human,4,3.625
7/1/2025 13:04,5,5,4,4,3,4,3,1,3,5,5,19 and under,Male,More than 5 hours,Often,human,5,3.875
7/1/2025 13:04,5,4,4,3,3,4,3,3,4,4,4,19 and under,Female,More than 5 hours,Often,human,3,3.5
